랜드마크,호텔이름,금액,평점,등급
Acropolis,아크로폴리스 셀렉트,321655,4.3,3
Acropolis,디오스코우로스 호스텔,68898,3.5,1
Acropolis,아테네 백팩커스,126680,4.2,2
Acropolis,11 Enteka Acropolis Suites,172106,4.7,4
Acropolis,헤라 호텔,221500,4.5,4
Acropolis,아리스 아테네 스위트,131880,4.1,3
Acropolis,플라카 호텔,226800,4.5,3
Acropolis,Acropolis Stay,235729,4.8,3
Acropolis,아드리안 호텔,240634,4.3,3
Acropolis,360 디그리스,278216,4.6,3
Arc_de_Triomphe,Radisson Blu Hotel Champs Elys?es,559143,3.8,5
Arc_de_Triomphe,H?tel Arc de Triomphe Etoile,218466,4.1,4
Arc_de_Triomphe,호텔 엘리제 에투알,140470,3.9,2
Arc_de_Triomphe,H?tel Arc de Triomphe,183526,4.1,3
Arc_de_Triomphe,아스트리드 호텔,201792,4.3,4
Arc_de_Triomphe,스플렌디드 에투알,302530,4.4,4
Arc_de_Triomphe,Fertel Etoile,200749,4.3,3
Arc_de_Triomphe,호텔 이크타 샹젤리제,300272,4.5,4
Arc_de_Triomphe,호텔 갈릴레오 샹젤리제,297353,4.4,3
Arc_de_Triomphe,틸시트 에투알,173190,4.3,3
Big_Ben,"Westminster, Curio Collection by Hilton",249684,4.1,4
Big_Ben,hub by Premier Inn London Westminster Abbey hotel,162474,4.5,3
Big_Ben,프리미어 인 런던 카운티 홀,200191,4.3,3
Big_Ben,"hub by Premier Inn London Westminster, St James's Park hotel",162474,4.5,3
Big_Ben,에스터 빅토리아 호스텔,61306,3.7,1
Big_Ben,런던 워털루 호스텔,67504,3,2
Big_Ben,NOX Waterloo,119517,3.5,4
Big_Ben,스트랜드 컨티넨탈,85230,3.2,2
Big_Ben,CARLTON HOTEL,79906,3.1,2
Big_Ben,프리미어 인 런던 워털루,184234,4.1,3
BlueMosque,Obelisk Hotel & Suites,192292,4.5,3
BlueMosque,블루 하우스 호텔,138438,4.3,3
BlueMosque,노벨 호스텔,50770,3.7,3
BlueMosque,호텔 술탄힐,116579,4.4,3
BlueMosque,술타나멧 펠리스 호텔,280927,4.4,4
BlueMosque,Cheers Vintage,81775,4.2,5
BlueMosque,스탠폴리 호스텔,60461,4.5,3
BlueMosque,아고라 게스트 하우스,67155,4.5,3
BlueMosque,Avrasya Hostel,38023,4.2,3
BlueMosque,술탄 하우스,82888,4,4
Brandenburg_Gate,호텔 알레그라,120354,4.1,3
Brandenburg_Gate,베스트 웨스턴 호텔 베를린 미테,133048,3.9,3
Brandenburg_Gate,이비스 베를린 시티 포츠다머 플라츠,115005,4,1
Brandenburg_Gate,이비스 베를린 하우프트반호프,129840,4.3,3
Brandenburg_Gate,Hotel ROMY by AMANO,140922,4.1,3
