랜드마크,호텔이름,금액,평점,등급,링크
Acropolis,아크로폴리스 셀렉트,321655,4.3,3,https://www.google.co.kr/travel/search?q=%EC%95%84%ED%81%AC%EB%A1%9C%ED%8F%B4%EB%A6%AC%EC%8A%A4%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaWwo9EjsyJTB4MTRhMWJkMTgzN2Y1YWNmMzoweDVjOTdjMDQyZjVlYjBkZjY6EuyVhO2BrOuhnO2PtOumrOyKpBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqCwoJOgNLUldiAggB&qs=CAEyJkNoZ0locnliak55S3VJbWxBUm9MTDJjdk1YUm5NbWR3TnpjUUFROAZCCQnF_thhW7xznUIJCTHWmXL8V1FdQgkJBt6GwVXgEqVaAggB&ap=MABoAQ&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwjg6emm2e-AAxUAAAAAHQAAAAAQKA
Acropolis,디오스코우로스 호스텔,68898,3.5,1,https://www.booking.com/searchresults.ko.html?aid=324796&label=dioskouros-hostel-9s2uog39EbwOREQp%2AQudtQS105875580866%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-118199377039%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YdzvEsd293RqtZ_wZgTZ0W0&gclid=EAIaIQobChMI_Y_dmNnvgAMVjVtgCh1wpA7LEAAYASAAEgKID_D_BwE&highlighted_hotels=292839&redirected=1&city=-814876&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Acropolis,아테네 백팩커스,126680,4.2,2,https://www.booking.com/hotel/gr/athens-backpackers.ko.html
Acropolis,11 Enteka Acropolis Suites,172106,4.7,4,https://www.google.com/search?q=11+Enteka+Acropolis+Suites&sca_esv=559003401&hotel_occupancy=2&ei=ll3kZNCVG7eB2roPx--R4As&ved=0ahUKEwjQuKOo2e-AAxW3gFYBHcd3BLwQ4dUDCA8&uact=5&oq=11+Enteka+Acropolis+Suites&gs_lp=Egxnd3Mtd2l6LXNlcnAiGjExIEVudGVrYSBBY3JvcG9saXMgU3VpdGVzMgcQABgTGIAEMgcQABgTGIAEMgcQABgTGIAEMgcQABgTGIAESPoHUPECWPECcAF4AJABAJgBaaABaaoBAzAuMbgBA8gBAPgBAfgBAqgCAOIDBBgAIEGIBgE&sclient=gws-wiz-serp
Acropolis,헤라 호텔,221500,4.5,4,https://www.google.co.kr/travel/search?q=%EC%95%84%ED%81%AC%EB%A1%9C%ED%8F%B4%EB%A6%AC%EC%8A%A4%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaWwo9EjsyJTB4MTRhMWJkMTgzN2Y1YWNmMzoweDVjOTdjMDQyZjVlYjBkZjY6EuyVhO2BrOuhnO2PtOumrOyKpBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqCwoJOgNLUldiAggB&qs=CAEyJkNoZ0kwdE9LcGVmODFZeHBHZ3d2Wnk4eGNIUjJNR051Y0dzUUFROAZCCQnF_thhW7xznUIJCTHWmXL8V1FdQgkJBt6GwVXgEqVaAggB&ap=MABoAQ&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwjg6emm2e-AAxUAAAAAHQAAAAAQXg
Acropolis,아리스 아테네 스위트,131880,4.1,3,https://www.booking.com/searchresults.ko.html?aid=324796&label=aris-athens-suites-T6n1Cebplpz4s1gEd_fJXgS505538131341%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666995%3Akwd-1638475575299%3Alp1009871%3Ali%3Adec%3Adm&gclid=EAIaIQobChMIqavbv9nvgAMVu9sWBR24JALREAAYASAAEgL2C_D_BwE&highlighted_hotels=1445522&redirected=1&city=-814876&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Acropolis,플라카 호텔,226800,4.5,3,https://www.booking.com/searchresults.ko.html?aid=324796&label=plakahotel-nco6ygHSz3FiL5E55F_qygS650401584179%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342138710%3Akwd-10479596252%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YdzvEsd293RqtZ_wZgTZ0W0&gclid=EAIaIQobChMI96WgxtnvgAMVScBMAh2WoAXqEAAYASAAEgLCrfD_BwE&highlighted_hotels=95631&redirected=1&city=-814876&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Acropolis,Acropolis Stay,235729,4.8,3,https://www.google.co.kr/travel/search?q=%EC%95%84%ED%81%AC%EB%A1%9C%ED%8F%B4%EB%A6%AC%EC%8A%A4%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaWwo9EjsyJTB4MTRhMWJkMTgzN2Y1YWNmMzoweDVjOTdjMDQyZjVlYjBkZjY6EuyVhO2BrOuhnO2PtOumrOyKpBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqCwoJOgNLUldiAggB&qs=CAEyKENob0loN2JvaC0tazdiNkZBUm9OTDJjdk1URm1OSGQwYUhoeGRCQUI4BkIJCcX-2GFbvHOdQgkJMdaZcvxXUV1CCQkG3obBVeASpVoCCAE&ap=MABoAQ&ictx=1&sa=X&ved=2ahUKEwi5rouI2e-AAxWRQcIFHZBHARgQyvcEegUIAxDHAQ
Acropolis,아드리안 호텔,240634,4.3,3,https://www.booking.com/searchresults.ko.html?aid=324796&label=adrian-sNaUIP2uuIfL9Y5PHapITAS625028580855%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342138710%3Akwd-48697615876%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YdzvEsd293RqtZ_wZgTZ0W0&gclid=EAIaIQobChMIvOng3dnvgAMVxBB7Bx1bRw8VEAAYASAAEgL2BvD_BwE&highlighted_hotels=12290&redirected=1&city=-814876&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Acropolis,360 디그리스,278216,4.6,3,https://www.booking.com/hotel/gr/360-degrees-rooms-and-apartments.ko.html
